com.samsung.shealth.activity.day_summary,6211031,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
4743,3155304,90,0,2021-10-19 12:08:22.698,2021-10-17 22:12:00.178,-1,60000,57,3784.5134,242.89713,5a00c948-720f-4efb-b982-d76728a38057.extra_data.json,Idp7XEd6un,12400,com.sec.android.app.shealth,3142904,20520000,5a00c948-720f-4efb-b982-d76728a38057,1634515200000,
2212,1464961,90,0,2021-12-21 13:21:14.997,2021-12-20 05:00:01.219,-1,60000,26,1724.4207,115.95621,6b7ffc1a-fc8f-46b8-9c0b-f8deab2436c5.extra_data.json,Idp7XEd6un,15600,com.sec.android.app.shealth,1449361,28800000,6b7ffc1a-fc8f-46b8-9c0b-f8deab2436c5,1639958400000,
4479,2971044,90,0,2021-12-26 15:24:45.484,2021-12-25 05:00:01.486,-1,60000,54,3530.6199,226.98923,e84e1821-5fc7-4f79-bc29-17cd4c699542.extra_data.json,Idp7XEd6un,21600,com.sec.android.app.shealth,2949444,32880000,e84e1821-5fc7-4f79-bc29-17cd4c699542,1640390400000,
4074,2679617,90,0,2021-11-04 02:03:40.946,2021-11-03 04:00:04.016,-1,120000,48,3193.8733,208.6249,80bb0c73-b224-4d56-8d5b-690e5ec5c4f4.extra_data.json,Idp7XEd6un,4400,com.sec.android.app.shealth,2675217,29340000,80bb0c73-b224-4d56-8d5b-690e5ec5c4f4,1635897600000,
4207,2830082,90,0,2022-02-10 13:40:40.381,2022-02-09 05:00:00.708,-1,903280,52,3351.3198,271.71414,5c6c2ff6-6b68-4fe5-9694-36732b72b120.extra_data.json,Idp7XEd6un,6800,com.sec.android.app.shealth,2823282,29160000,5c6c2ff6-6b68-4fe5-9694-36732b72b120,1644364800000,
4831,3089163,,0,2020-12-03 05:00:01.128,2020-12-02 05:00:00.827,60,972200,83,3937.2505,256.44992,b0c43832-0afc-42a3-a4a4-449bb721298e.extra_data.json,Idp7XEd6un,152493,com.sec.android.app.shealth,2936670,27000000,b0c43832-0afc-42a3-a4a4-449bb721298e,1606867200000,
5602,4599378,,979260,2021-06-02 12:37:51.245,2021-06-01 04:00:00.935,60,1189920,126,4044.1772,353.25015,e9551bb8-bc49-41ed-bd9a-612373844afe.extra_data.json,Idp7XEd6un,18400,com.sec.android.app.shealth,3601718,31320000,e9551bb8-bc49-41ed-bd9a-612373844afe,1622505600000,
5453,3364920,,0,2020-10-30 13:13:59.585,2020-10-30 13:13:23.896,-1,1497920,0,4168.988,188.25862,8ee42324-b768-4601-ada0-f2e5146f77ab.extra_data.json,Idp7XEd6un,6000,com.sec.android.app.shealth,3358920,30360000,8ee42324-b768-4601-ada0-f2e5146f77ab,1602028800000,
5111,3315265,,0,2021-02-18 03:40:56.824,2021-02-17 05:00:00.673,60,180000,91,4107.8047,258.48633,9b69d1fe-e06f-49ae-a268-1e5923f22665.extra_data.json,Idp7XEd6un,4000,com.sec.android.app.shealth,3311265,30360000,9b69d1fe-e06f-49ae-a268-1e5923f22665,1613520000000,
5143,4224772,90,0,2021-12-13 13:49:14.566,2021-12-13 05:00:01.274,-1,1793260,77,4043.834,376.09497,3edc826d-73ba-4345-aa15-cdd6bc1cf7f4.extra_data.json,Idp7XEd6un,9200,com.sec.android.app.shealth,4215572,27720000,3edc826d-73ba-4345-aa15-cdd6bc1cf7f4,1639267200000,
3283,2165120,,0,2021-01-29 13:42:08.275,2021-01-28 05:00:00.908,60,60000,58,2686.249,170.14035,4290e208-1c69-4a9f-9d29-0d9429ec7cdd.extra_data.json,Idp7XEd6un,10800,com.sec.android.app.shealth,2154320,30840000,4290e208-1c69-4a9f-9d29-0d9429ec7cdd,1611792000000,
7023,4637979,,0,2021-06-16 12:20:45.446,2021-06-15 04:00:00.866,60,1422360,126,5619.125,364.52975,db0bf546-c583-4438-86ab-2f6f5dacce24.extra_data.json,Idp7XEd6un,34957,com.sec.android.app.shealth,4603022,29940000,db0bf546-c583-4438-86ab-2f6f5dacce24,1623715200000,
7234,6959359,,3617960,2021-08-10 15:57:04.447,2021-08-09 04:00:01.517,60,3617960,191,4112.0923,343.3159,784f3901-02ea-4526-a147-495e8064ded7.extra_data.json,Idp7XEd6un,2000,com.sec.android.app.shealth,3339399,27840000,784f3901-02ea-4526-a147-495e8064ded7,1628467200000,
9158,6277534,,0,2020-12-25 04:44:52.889,2020-12-24 05:42:58.199,60,2024200,173,7276.8125,472.4058,9d5e5feb-b148-4a4e-bfe7-cb67828d82a4.extra_data.json,Idp7XEd6un,15690,com.sec.android.app.shealth,6261844,32220000,9d5e5feb-b148-4a4e-bfe7-cb67828d82a4,1608768000000,
7192,4733559,,0,2021-06-23 14:22:26.220,2021-06-21 04:00:01.010,60,240000,130,5745.7085,371.27875,328d41c4-b31d-4c1a-965d-e1a05f7f61af.extra_data.json,Idp7XEd6un,30550,com.sec.android.app.shealth,4703009,28800000,328d41c4-b31d-4c1a-965d-e1a05f7f61af,1624233600000,
1593,1060929,,0,2021-08-09 11:51:11.665,2021-08-08 04:00:00.929,60,45356,28,1249.5715,80.27293,276a535c-2d63-4063-9757-1b9d9f101717.extra_data.json,Idp7XEd6un,2400,com.sec.android.app.shealth,1058529,33960000,276a535c-2d63-4063-9757-1b9d9f101717,1628380800000,
3202,2123185,90,0,2022-01-20 17:28:17.076,2022-01-19 05:00:01.090,-1,60000,38,2498.8518,162.14992,045b5754-26d2-406d-92bf-93dd1a70f933.extra_data.json,Idp7XEd6un,18800,com.sec.android.app.shealth,2104385,28320000,045b5754-26d2-406d-92bf-93dd1a70f933,1642550400000,
3790,2490883,,0,2021-06-12 02:43:13.855,2021-06-11 04:00:00.827,60,120000,68,3032.9343,194.37352,8bc1eda9-470e-4fe3-9bcf-7520414901a8.extra_data.json,Idp7XEd6un,10400,com.sec.android.app.shealth,2480483,28980000,8bc1eda9-470e-4fe3-9bcf-7520414901a8,1623369600000,
5330,3478121,,0,2021-06-07 12:37:16.047,2021-06-06 04:00:00.510,60,690220,95,4286.613,272.17126,168737c1-d507-4b77-9a63-0a235c3b6309.extra_data.json,Idp7XEd6un,3200,com.sec.android.app.shealth,3474921,32640000,168737c1-d507-4b77-9a63-0a235c3b6309,1622937600000,
3810,2458025,,0,2020-10-30 13:14:02.201,2020-10-30 13:13:27.164,-1,240000,0,2939.7603,135.63004,ea5a8c61-f31b-4e00-8518-8fe263b72466.extra_data.json,Idp7XEd6un,400,com.sec.android.app.shealth,2457625,31500000,ea5a8c61-f31b-4e00-8518-8fe263b72466,1603843200000,
1937,1284236,90,0,2022-01-21 04:09:21.878,2022-01-20 05:00:01.234,-1,51359,23,1503.984,100.19856,ac622d48-0707-4553-96f6-9e59bc3a828f.extra_data.json,Idp7XEd6un,11600,com.sec.android.app.shealth,1272636,30720000,ac622d48-0707-4553-96f6-9e59bc3a828f,1642636800000,
