com.samsung.shealth.rewards,6211031,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-12-19 17:50:38.191,,,,2020-12-20 23:37:34.253,2020-12-19 17:50:38.244,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":141,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-12-19 17:50:38.191,336a16d4-8290-4abf-928f-b3c414247aa5,0,
,2021-02-16 01:15:03.599,,,,2021-03-03 01:14:19.989,2021-02-16 01:15:03.653,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-02-16 01:15:03.599,2032110f-511f-4029-9564-23d503c98993,0,
,2021-08-18 22:12:10.683,,,,2021-08-20 22:41:20.617,2021-08-18 22:12:10.717,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":95,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-18 22:12:10.683,384cb7d1-ef3e-4375-b640-08ec1618a0ce,0,
,2021-08-24 22:51:20.014,,,,2021-08-26 00:55:04.582,2021-08-24 22:51:20.034,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":72,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-24 22:51:20.014,3e59315d-f908-4720-8631-6b991f2026e7,0,
,2021-07-18 20:27:09.652,,,,2021-07-20 00:53:17.535,2021-07-18 20:27:09.707,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":160,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-18 20:27:09.652,c6c1259c-cb1f-44fc-a419-58d316c69d6e,0,
,2021-06-19 00:10:26.328,,,,2021-06-19 15:23:35.371,2021-06-19 00:10:26.365,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":78,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-06-19 00:10:26.328,752b8e2c-ee00-45d0-9965-0757ff278fcc,0,
1200,,1002,,933ae246-0f0a-cb6d-a577-fad212e96ab2,2022-03-26 15:59:38.695,2022-03-26 15:59:38.695,,,1200,UTC-0400,205.553,Idp7XEd6un,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-08-06 20:16:20.630,577f9e7b-fbca-4aa4-9f75-7f00cf301d92,1,
,2021-03-18 22:15:01.652,,,,2021-03-19 21:33:35.471,2021-03-18 22:15:01.679,,,goal_activity_reward_goal_achieved,UTC-0600,"{""mIsCompleted"":false,""mValue"":179,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-03-18 22:15:01.652,d90220c9-42df-4cef-adaf-aaa169d91ebf,0,
,2021-07-09 23:08:41.789,,,,2021-07-10 16:11:52.574,2021-07-09 23:08:41.832,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-09 23:08:41.789,a448eb3f-4908-4e38-8cf3-a36071e0398e,0,
,2020-11-11 05:00:00.000,,10009,,2022-03-26 15:59:48.829,2022-03-26 15:59:48.829,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8967}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2020-11-11 05:00:00.000,8961036b-d20c-46d3-8474-951d2db1c328,1,
,2021-07-03 21:34:36.996,,,,2021-07-05 20:34:43.831,2021-07-03 21:34:37.038,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":96,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-03 21:34:36.996,35b3deb2-38e3-4cb4-a110-ecdc62b81dfc,0,
,2021-09-19 20:05:04.847,,,,2021-09-20 22:20:34.123,2021-09-19 20:05:04.873,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":95,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-09-19 20:05:04.847,91fbc430-cfcc-414e-ada7-fef106c4bcb5,0,
