com.samsung.shealth.tracker.pedometer_step_count,6211031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
32542,4,0,51,2022-02-14 02:57:00.000,,,2022-02-14 02:58:03.093,2022-02-14 02:57:01.146,51,1.1963806,38.933594,2.5604248,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 02:58:00.000,08985b38-6687-4a56-b3e7-f363bba7abce,
21341,4,0,42,2022-02-13 22:12:00.000,230002,,2022-02-13 22:15:05.130,2022-02-13 22:15:05.130,42,1.5833334,33.79,2.02,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:12:59.999,4577c9f0-0248-472d-1720-536727c6e779,
10322,4,0,18,2022-02-13 19:20:00.000,230002,,2022-02-13 19:22:37.304,2022-02-13 19:22:37.303,18,1.3611112,14.05,0.87,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 19:20:59.999,ee4b26fb-646f-7a91-dbea-8139d0cba3aa,
10628,4,0,21,2022-02-14 18:30:00.000,230002,,2022-02-14 18:33:55.270,2022-02-14 18:30:14.398,21,1.6144514,17.16,0.99,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 18:30:59.999,0ae75b81-5c01-a238-45e9-41ce7d6e0fcf,
35874,4,0,60,2022-02-13 22:19:00.000,,,2022-02-13 22:25:36.082,2022-02-13 22:19:36.847,60,1.3064859,46.869385,2.9649353,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 22:20:00.000,0e033838-6489-410c-b831-d4aa189dfb88,
10309,4,0,17,2022-02-14 14:03:00.000,,,2022-02-14 14:03:42.444,2022-02-14 14:03:24.820,17,1.2812173,13.208984,0.84539795,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 14:04:00.000,33d6a38a-ca6f-4995-a1fc-dee831cb8871,
34363,4,0,61,2022-02-13 21:13:00.000,,,2022-02-13 21:13:45.055,2022-02-13 21:13:00.395,61,1.4072326,48.35724,2.9969978,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:14:00.000,e9590697-9a0d-4f2d-abb7-f04de54164d7,
24050,4,0,47,2022-02-14 23:39:00.000,230002,,2022-02-14 23:39:58.229,2022-02-14 23:39:58.229,47,1.5833334,38.08,2.34,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 23:39:59.999,33d57a64-b191-6183-a47b-ac1b0bd7a56e,
5864,4,0,11,2022-02-15 01:33:00.000,230002,,2022-02-15 01:35:18.125,2022-02-15 01:35:18.124,11,1.5277778,8.96,0.46,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 01:33:59.999,a4e3d10e-a0ea-5cab-9ac6-48268efd1c93,
8573,4,0,13,2022-02-13 20:36:00.000,,,2022-02-13 20:36:41.637,2022-02-13 20:36:41.637,13,1.1527923,9.883575,0.65361786,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 20:37:00.000,9e948320-4dbd-41a0-9025-e586eb385160,
