com.samsung.shealth.tracker.pedometer_day_summary,6211031,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
7604,36c5aad2-6ac2-443b-9666-107445660195.binning_data.json,4027408,6000,32,2020-11-26 13:54:23.313,com.sec.android.app.shealth,2020-11-25 12:34:57.150,36c5aad2-6ac2-443b-9666-107445660195.source_info.json,1.5221456,6130.3013,384.96747,7572,VfS0qUERdZ,com.sec.android.app.shealth,0,36c5aad2-6ac2-443b-9666-107445660195.achievement.json,36c5aad2-6ac2-443b-9666-107445660195,1606262400000,
7098,ca0ea2ce-e8b6-44d0-b060-6f607b95cd4d.binning_data.json,3911316,8000,39,2021-05-28 03:02:09.427,com.sec.android.app.shealth,2021-05-27 12:37:51.754,ca0ea2ce-e8b6-44d0-b060-6f607b95cd4d.source_info.json,1.4360511,5616.851,364.06708,7059,VfS0qUERdZ,com.sec.android.app.shealth,0,ca0ea2ce-e8b6-44d0-b060-6f607b95cd4d.achievement.json,ca0ea2ce-e8b6-44d0-b060-6f607b95cd4d,1622073600000,
977,ae0a5cc3-cf06-48bc-9f3f-e68a67590c38.binning_data.json,629153,8000,0,2020-12-15 05:00:01.612,com.sec.android.app.shealth,2020-12-15 05:00:01.612,,1.1956291,752.2344,48.882812,977,Idp7XEd6un,com.sec.android.app.shealth,0,ae0a5cc3-cf06-48bc-9f3f-e68a67590c38.achievement.json,ae0a5cc3-cf06-48bc-9f3f-e68a67590c38,1607904000000,
11100,b931ab4f-b857-4ce2-ace4-a5ced80a8709.binning_data.json,6865757,8000,7,2021-03-15 06:53:17.707,com.sec.android.app.shealth,2021-03-14 14:22:39.598,b931ab4f-b857-4ce2-ace4-a5ced80a8709.source_info.json,1.2600597,8651.264,555.09595,11093,VfS0qUERdZ,com.sec.android.app.shealth,0,b931ab4f-b857-4ce2-ace4-a5ced80a8709.achievement.json,b931ab4f-b857-4ce2-ace4-a5ced80a8709,1615680000000,
3440,c5085059-3175-42b2-a227-56527420b12d.binning_data.json,1836507,8000,12,2020-12-24 05:43:01.126,com.sec.android.app.shealth,2020-12-24 05:43:01.126,,1.5054806,2764.827,175.48146,3428,j9zBUHWfhn,com.sec.android.app.shealth,0,c5085059-3175-42b2-a227-56527420b12d.achievement.json,c5085059-3175-42b2-a227-56527420b12d,1608681600000,
4114,799158b6-f788-4c42-8af2-60404b997c9a.binning_data.json,2161991,8000,29,2021-02-02 05:00:04.807,com.sec.android.app.shealth,2021-02-01 05:00:04.496,,1.5599965,3372.6992,213.47021,4085,j9zBUHWfhn,com.sec.android.app.shealth,0,799158b6-f788-4c42-8af2-60404b997c9a.achievement.json,799158b6-f788-4c42-8af2-60404b997c9a,1612051200000,
3070,b9eae174-7253-49f7-bf30-66e0de9ae340.binning_data.json,1964513,8000,0,2021-07-19 04:00:01.576,com.sec.android.app.shealth,2021-07-19 04:00:01.576,,1.2110026,2379.0312,153.40918,3070,Idp7XEd6un,com.sec.android.app.shealth,0,b9eae174-7253-49f7-bf30-66e0de9ae340.achievement.json,b9eae174-7253-49f7-bf30-66e0de9ae340,1626566400000,
7414,5737f24e-5068-4eeb-b231-ce30c524bd7a.binning_data.json,3933914,6000,25,2020-11-12 05:00:05.061,com.sec.android.app.shealth,2020-11-11 05:00:03.382,,1.5127957,5951.2095,375.38785,7389,j9zBUHWfhn,com.sec.android.app.shealth,0,5737f24e-5068-4eeb-b231-ce30c524bd7a.achievement.json,5737f24e-5068-4eeb-b231-ce30c524bd7a,1604966400000,
12426,ee5ce270-5c2c-44bf-99dd-0a2bfc4f5de3.binning_data.json,6745164,8000,25,2020-12-20 14:37:10.305,com.sec.android.app.shealth,2020-12-19 14:45:43.827,ee5ce270-5c2c-44bf-99dd-0a2bfc4f5de3.source_info.json,1.4703579,9917.807,621.80597,12401,VfS0qUERdZ,com.sec.android.app.shealth,0,ee5ce270-5c2c-44bf-99dd-0a2bfc4f5de3.achievement.json,ee5ce270-5c2c-44bf-99dd-0a2bfc4f5de3,1608336000000,
485,46822e65-23fb-404a-9f0e-c6a2fcbe6f84.binning_data.json,315068,8000,0,2021-02-20 05:00:01.942,com.sec.android.app.shealth,2021-02-20 05:00:01.942,,1.1916306,375.4455,24.161795,485,Idp7XEd6un,com.sec.android.app.shealth,0,46822e65-23fb-404a-9f0e-c6a2fcbe6f84.achievement.json,46822e65-23fb-404a-9f0e-c6a2fcbe6f84,1613692800000,
2959,f87b706f-cbaf-4359-a7e5-7376eb9cd434.binning_data.json,1672777,8000,256,2021-06-11 04:00:01.944,com.sec.android.app.shealth,2021-06-11 04:00:01.944,,1.460379,2442.8892,164.39346,2703,Idp7XEd6un,com.sec.android.app.shealth,0,f87b706f-cbaf-4359-a7e5-7376eb9cd434.achievement.json,f87b706f-cbaf-4359-a7e5-7376eb9cd434,1623283200000,
6764,86ff719f-1a19-4ca4-a60d-397a530a9b8b.binning_data.json,3602408,8000,160,2021-01-05 05:00:05.157,com.sec.android.app.shealth,2021-01-04 05:00:05.393,,1.5295714,5510.14,361.4,6604,j9zBUHWfhn,com.sec.android.app.shealth,0,86ff719f-1a19-4ca4-a60d-397a530a9b8b.achievement.json,86ff719f-1a19-4ca4-a60d-397a530a9b8b,1609632000000,
5736,aaa8734f-94e1-4bce-9097-aedd3a998e44.binning_data.json,3296960,8000,58,2021-03-29 12:38:58.113,com.sec.android.app.shealth,2021-03-07 05:37:56.704,aaa8734f-94e1-4bce-9097-aedd3a998e44.source_info.json,1.3843445,4564.1294,299.8087,5678,VfS0qUERdZ,com.sec.android.app.shealth,0,aaa8734f-94e1-4bce-9097-aedd3a998e44.achievement.json,aaa8734f-94e1-4bce-9097-aedd3a998e44,1615075200000,
5472,343eeab4-50a6-4c08-babf-4cd2e24a1c5d.binning_data.json,3153780,8000,0,2021-06-05 04:00:01.721,com.sec.android.app.shealth,2021-06-05 04:00:01.721,,1.364309,4302.7305,269.886,5472,Idp7XEd6un,com.sec.android.app.shealth,0,343eeab4-50a6-4c08-babf-4cd2e24a1c5d.achievement.json,343eeab4-50a6-4c08-babf-4cd2e24a1c5d,1622764800000,
3097,0b96d215-261e-4c9a-b8f5-639ea651a954.binning_data.json,1758720,8000,27,2021-06-04 04:00:01.680,com.sec.android.app.shealth,2021-06-04 04:00:01.680,,1.400252,2462.6523,154.25122,3070,Idp7XEd6un,com.sec.android.app.shealth,0,0b96d215-261e-4c9a-b8f5-639ea651a954.achievement.json,0b96d215-261e-4c9a-b8f5-639ea651a954,1622678400000,
