com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
10633216,2020-11-30 04:14:20.214,2020-11-29 16:12:35.536,j9zBUHWfhn,com.sec.android.app.shealth,4f19bb8c-0e25-8cca-5598-0716a39f395b,1606608000000,
4263936,2021-01-21 03:22:09.217,2021-01-20 13:25:54.051,j9zBUHWfhn,com.sec.android.app.shealth,0becfbc9-f92f-5ed0-1ff7-d8285a54c334,1611100800000,
4587520,2020-10-18 02:17:44.259,2020-10-17 14:06:34.700,j9zBUHWfhn,com.sec.android.app.shealth,22ff8cb8-14f2-207e-70f5-15b7a9ad7a15,1602892800000,
686592,2021-04-21 23:44:42.324,2021-04-21 11:41:36.895,j9zBUHWfhn,com.sec.android.app.shealth,db6671a5-c1cd-4466-3031-379a81887ee4,1618963200000,
4476928,2021-09-05 02:30:58.294,2021-09-04 13:37:15.305,j9zBUHWfhn,com.sec.android.app.shealth,5c6632af-c1d5-f66b-344d-20a8b4f58e8d,1630713600000,
3452928,2020-10-07 01:37:06.241,2020-10-06 12:11:31.776,j9zBUHWfhn,com.sec.android.app.shealth,0c05543f-d58d-7ef6-3f3a-fffc906ec626,1601942400000,
2704384,2020-10-10 01:37:59.249,2020-10-09 12:39:04.385,j9zBUHWfhn,com.sec.android.app.shealth,b75427a0-349c-bd21-2d1d-497d7532d072,1602201600000,
5378048,2021-05-01 02:23:15.287,2021-04-30 12:30:42.034,j9zBUHWfhn,com.sec.android.app.shealth,d1649b91-385d-2799-495e-ab313fda591e,1619740800000,
397312,2021-04-22 22:41:34.291,2021-04-22 12:09:39.891,j9zBUHWfhn,com.sec.android.app.shealth,a8acba9a-f64f-8206-63b7-d0e5a15c8fe6,1619049600000,
0,2020-11-14 14:34:12.749,2020-11-14 14:34:12.749,j9zBUHWfhn,com.sec.android.app.shealth,259b8bb7-a03a-34db-4f38-7e97157c3494,1605312000000,
5545984,2021-08-11 02:33:38.305,2021-08-10 15:55:53.923,j9zBUHWfhn,com.sec.android.app.shealth,36de2178-fd37-0361-b121-bdb873d2c9f5,1628553600000,
2402304,2022-02-05 02:53:40.262,2022-02-04 13:09:38.443,j9zBUHWfhn,com.sec.android.app.shealth,d934411a-2359-b698-14e3-dc753400cfa4,1643932800000,
12845056,2021-09-06 03:19:10.246,2021-09-05 13:45:03.090,j9zBUHWfhn,com.sec.android.app.shealth,3b874fcd-e28a-42ee-000f-5275fca42134,1630800000000,
