com.samsung.shealth.exercise,6211031,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,0,,187.66,0,,,,4,0,,,0,,0.0,,,,,700320,,,,2021-07-26 22:29:24.031,11007,,,,,,,,,2021-07-26 22:43:14.210,2021-07-26 22:43:14.210,,,,,,,,187.66,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-07-26 22:41:04.351,1d1d901c-dd74-e56f-6a41-b5f962c73bf6,,
,0,,182.0,0,,,,4,0,,,0,,0.0,,,,,1582340,,,,2021-07-10 13:38:31.220,0,,,,,,,,,2021-07-10 14:05:58.446,2021-07-10 14:05:58.446,,,,,,,,182.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-07-10 14:04:53.560,356fc903-155b-8502-a06f-e8480a68a244,,
,0,,89.0,0,,,,4,0,,,0,,0.0,,,,,1219780,,,,2021-10-10 18:07:07.280,1001,,,,,30001,,,,2021-10-10 18:28:29.338,2021-10-10 18:28:29.338,,1.7699739,,,1583,1240.611,,89.0,,,,UTC+0200,j9zBUHWfhn,,,81d76436-42ba-7575-b001-43cfe6702d84.com.samsung.health.exercise.live_data.json,,1.4162371,com.sec.android.app.shealth,,,,2021-10-10 18:27:27.060,81d76436-42ba-7575-b001-43cfe6702d84,,
,0,,53.0,0,,,,4,0,,,0,,0.0,,,,,967920,,,738bb510-c70c-52e6-d95e-e576f46891e9.com.samsung.health.exercise.location_data.json,2020-10-17 15:48:24.200,1001,,,,,30001,,,,2020-10-17 16:05:35.394,2020-10-17 16:05:35.394,,1.6666666,,,1576,1219.09,,53.0,,,,UTC-0400,j9zBUHWfhn,,,738bb510-c70c-52e6-d95e-e576f46891e9.com.samsung.health.exercise.live_data.json,,1.4970475,com.sec.android.app.shealth,,,,2020-10-17 16:04:32.120,738bb510-c70c-52e6-d95e-e576f46891e9,,
,0,,79.0,0,,,,4,0,,,0,,0.0,,,,,919400,,,,2021-06-19 16:27:50.460,0,,,,,,,,,2021-06-19 16:44:12.233,2021-06-19 16:44:12.233,,,,,,,,79.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-06-19 16:43:09.860,0eacf070-0d42-c630-042a-4129109e9c98,,
,0,,53.0,0,,,,4,0,,,0,,0.0,,,,,685080,,,,2021-05-12 21:57:56.760,1001,,,,,30001,,,,2021-05-12 22:10:22.300,2021-05-12 22:10:22.300,,1.5925885,,,1063,845.32,,53.0,,,,UTC-0400,j9zBUHWfhn,,,1f94b7bc-d5f4-cc5d-5255-975000d2cdf6.com.samsung.health.exercise.live_data.json,,1.4670167,com.sec.android.app.shealth,,,,2021-05-12 22:09:21.840,1f94b7bc-d5f4-cc5d-5255-975000d2cdf6,,
,,,,1,,,,4,0,0,,,,,,,,,902814,,,,2021-10-15 08:21:00.000,1001,,,,,30001,,,,2021-10-15 08:47:46.571,2021-10-15 08:47:46.571,,1.4582165,,,1519,1198.9258,,74.74811,,,,UTC+0200,Idp7XEd6un,,,163a3211-0057-4a38-80df-427d29c41a45.com.samsung.health.exercise.live_data.json,,1.3279876,com.sec.android.app.shealth,,,,2021-10-15 08:36:03.000,163a3211-0057-4a38-80df-427d29c41a45,,
,0,,61.0,0,,,,4,0,,,0,,0.0,,,,,765560,,,,2021-10-09 13:40:19.220,1001,,,,,30001,,,,2021-10-09 13:54:08.388,2021-10-09 13:54:08.388,,1.75,,,1166,931.16,,61.0,,,,UTC+0200,j9zBUHWfhn,,,f31cf7c0-59f4-1eaa-a3c4-ac56cea96ea1.com.samsung.health.exercise.live_data.json,,1.5133451,com.sec.android.app.shealth,,,,2021-10-09 13:53:04.780,f31cf7c0-59f4-1eaa-a3c4-ac56cea96ea1,,
,0,,65.0,0,,,,4,0,,,0,,0.0,,,,,672260,,,,2021-10-12 14:44:38.600,1001,,,,,30001,,,,2021-10-12 14:56:52.202,2021-10-12 14:56:52.202,,1.6111112,,,877,574.01,,65.0,,,,UTC+0200,j9zBUHWfhn,,,768629be-2b88-f599-a56e-177b3b554158.com.samsung.health.exercise.live_data.json,,1.2851762,com.sec.android.app.shealth,,,,2021-10-12 14:55:50.860,768629be-2b88-f599-a56e-177b3b554158,,
,0,,61.0,0,,,,4,0,,,0,,0.0,,,,,731580,,,,2021-04-24 21:29:27.040,1001,,,,,30001,,,,2021-04-24 21:42:42.414,2021-04-24 21:42:42.414,,1.4722222,,,1220,954.5965,,61.0,,,,UTC-0400,j9zBUHWfhn,,,4d210884-f6ef-bae6-70dc-8c9e03aeb772.com.samsung.health.exercise.live_data.json,,1.3965031,com.sec.android.app.shealth,,,,2021-04-24 21:41:38.620,4d210884-f6ef-bae6-70dc-8c9e03aeb772,,
,0,,87.0,0,,,,4,0,,,0,,0.0,,,,,1204820,,,,2021-07-15 21:37:20.100,1001,,,,,30001,,,,2021-07-15 21:58:25.221,2021-07-15 21:58:25.221,,1.6111112,,,1636,1291.24,,87.0,,,,UTC-0400,j9zBUHWfhn,,,778e4c71-6601-6410-7a28-27d31ca583ea.com.samsung.health.exercise.live_data.json,,1.4573084,com.sec.android.app.shealth,,,,2021-07-15 21:57:24.920,778e4c71-6601-6410-7a28-27d31ca583ea,,
