com.samsung.health.floors_climbed,6211031,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-03-06 06:27:59.085,,2022-03-06 06:29:06.232,2022-03-06 06:29:06.157,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-06 06:28:29.086,1ea28c17-baa6-8b90-dae6-16b5ed2b3f92,
2021-10-06 22:20:42.833,,2021-10-06 22:26:51.930,2021-10-06 22:26:51.862,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-06 22:20:54.837,6a3b3754-6cda-0afc-ebd2-b1c1697e95d8,
2021-02-06 17:57:41.744,,2021-02-06 17:59:56.977,2021-02-06 17:59:56.855,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-02-06 17:57:58.746,d8c9828d-9d17-d661-50e6-3a04d4ba2541,
2022-03-03 10:47:10.334,,2022-03-03 10:49:28.515,2022-03-03 10:49:28.432,2.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-03 10:47:28.336,0d6e5522-35d7-377a-1aba-92af0987e965,
2022-01-16 04:06:42.335,,2022-01-16 04:07:02.440,2022-01-16 04:07:02.338,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-16 04:07:00.416,4384750c-fe3f-f9aa-d68a-8d45dd070af6,
2022-03-05 02:10:10.491,,2022-03-05 02:15:22.740,2022-03-05 02:15:22.563,8.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-05 02:11:17.497,cddd4203-8112-8b31-b810-ee2656b03927,
2021-07-24 16:03:57.051,,2021-07-24 16:05:33.152,2021-07-24 16:05:33.103,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-07-24 16:04:17.053,3d169605-6b45-80a9-1898-982dd581113d,
2022-03-06 22:22:40.317,,2022-03-06 22:42:11.583,2022-03-06 22:42:11.417,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-06 22:22:49.331,5b76644b-1c88-0d42-113a-c87ad12de5cd,
2021-11-04 02:02:56.693,,2021-11-04 02:03:28.777,2021-11-04 02:03:28.726,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-04 02:03:09.712,46ff533c-1023-774b-6e6a-7445ed37c0ab,
2022-03-06 06:30:29.196,,2022-03-06 06:41:51.252,2022-03-06 06:41:51.218,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-06 06:30:56.198,9cc04cca-652b-406b-89d7-0bee97d27357,
